circle1,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[65.50184509522745, 17.551166496014687]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,0,3']","[0, 0, 0, 0, 3, 0, 0, 3]"
circle2,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[58.72734769413225, 33.90624999999999]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,0,6']","[0, 0, 0, 0, 3, 0, 0, 6]"
circle3,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[47.95067859921276, 47.95067859921276]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,0,9']","[0, 0, 0, 0, 3, 0, 0, 9]"
circle4,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[33.90625000000001, 58.72734769413224]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,0,12']","[0, 0, 0, 0, 3, 0, 0, 12]"
circle5,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[17.551166496014687, 65.50184509522745]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,0,15']","[0, 0, 0, 0, 3, 0, 0, 15]"
circle6,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[4.152318053358994e-15, 67.8125]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,0,18']","[0, 0, 0, 0, 3, 0, 0, 18]"
circle7,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[58.72734769413225, 33.90624999999999]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,3,6']","[0, 0, 0, 3, 3, 0, 0, 6]"
circle8,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[47.95067859921276, 47.95067859921276]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,3,9']","[0, 0, 0, 3, 3, 0, 0, 9]"
circle9,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[33.90625000000001, 58.72734769413224]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,3,12']","[0, 0, 0, 3, 3, 0, 0, 12]"
circle10,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[17.551166496014687, 65.50184509522745]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,3,15']","[0, 0, 0, 3, 3, 0, 0, 15]"
circle11,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[4.152318053358994e-15, 67.8125]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,3,18']","[0, 0, 0, 3, 3, 0, 0, 18]"
circle12,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[47.95067859921276, 47.95067859921276]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,6,9']","[0, 0, 0, 6, 3, 0, 0, 9]"
circle13,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[33.90625000000001, 58.72734769413224]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,6,12']","[0, 0, 0, 6, 3, 0, 0, 12]"
circle14,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[17.551166496014687, 65.50184509522745]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,6,15']","[0, 0, 0, 6, 3, 0, 0, 15]"
circle15,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[4.152318053358994e-15, 67.8125]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,6,18']","[0, 0, 0, 6, 3, 0, 0, 18]"
circle16,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[47.95067859921276, 47.95067859921276]], [[33.90625000000001, 58.72734769413224]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,9,12']","[0, 0, 0, 9, 3, 0, 0, 12]"
circle17,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[47.95067859921276, 47.95067859921276]], [[17.551166496014687, 65.50184509522745]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,9,15']","[0, 0, 0, 9, 3, 0, 0, 15]"
circle18,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[47.95067859921276, 47.95067859921276]], [[4.152318053358994e-15, 67.8125]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,9,18']","[0, 0, 0, 9, 3, 0, 0, 18]"
circle19,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[33.90625000000001, 58.72734769413224]], [[17.551166496014687, 65.50184509522745]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,12,15']","[0, 0, 0, 12, 3, 0, 0, 15]"
circle20,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[33.90625000000001, 58.72734769413224]], [[4.152318053358994e-15, 67.8125]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,12,18']","[0, 0, 0, 12, 3, 0, 0, 18]"
circle21,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[17.551166496014687, 65.50184509522745]], [[4.152318053358994e-15, 67.8125]], [[14.488887394336025, 3.882285676537811]], [[15.0, 0.0]]]","['Iteration=0,3,15,18']","[0, 0, 0, 15, 3, 0, 0, 18]"
circle22,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[65.50184509522745, 17.551166496014687]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,0,3']","[0, 0, 0, 0, 6, 0, 0, 3]"
circle23,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[58.72734769413225, 33.90624999999999]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,0,6']","[0, 0, 0, 0, 6, 0, 0, 6]"
circle24,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[47.95067859921276, 47.95067859921276]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,0,9']","[0, 0, 0, 0, 6, 0, 0, 9]"
circle25,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[33.90625000000001, 58.72734769413224]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,0,12']","[0, 0, 0, 0, 6, 0, 0, 12]"
circle26,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[17.551166496014687, 65.50184509522745]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,0,15']","[0, 0, 0, 0, 6, 0, 0, 15]"
circle27,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[4.152318053358994e-15, 67.8125]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,0,18']","[0, 0, 0, 0, 6, 0, 0, 18]"
circle28,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[58.72734769413225, 33.90624999999999]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,3,6']","[0, 0, 0, 3, 6, 0, 0, 6]"
circle29,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[47.95067859921276, 47.95067859921276]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,3,9']","[0, 0, 0, 3, 6, 0, 0, 9]"
circle30,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[33.90625000000001, 58.72734769413224]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,3,12']","[0, 0, 0, 3, 6, 0, 0, 12]"
circle31,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[17.551166496014687, 65.50184509522745]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,3,15']","[0, 0, 0, 3, 6, 0, 0, 15]"
circle32,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[65.50184509522745, 17.551166496014687]], [[4.152318053358994e-15, 67.8125]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,3,18']","[0, 0, 0, 3, 6, 0, 0, 18]"
circle33,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[47.95067859921276, 47.95067859921276]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,6,9']","[0, 0, 0, 6, 6, 0, 0, 9]"
circle34,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[33.90625000000001, 58.72734769413224]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,6,12']","[0, 0, 0, 6, 6, 0, 0, 12]"
circle35,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[17.551166496014687, 65.50184509522745]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,6,15']","[0, 0, 0, 6, 6, 0, 0, 15]"
circle36,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[58.72734769413225, 33.90624999999999]], [[4.152318053358994e-15, 67.8125]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,6,18']","[0, 0, 0, 6, 6, 0, 0, 18]"
circle37,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[47.95067859921276, 47.95067859921276]], [[33.90625000000001, 58.72734769413224]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,9,12']","[0, 0, 0, 9, 6, 0, 0, 12]"
circle38,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[47.95067859921276, 47.95067859921276]], [[17.551166496014687, 65.50184509522745]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,9,15']","[0, 0, 0, 9, 6, 0, 0, 15]"
circle39,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[47.95067859921276, 47.95067859921276]], [[4.152318053358994e-15, 67.8125]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,9,18']","[0, 0, 0, 9, 6, 0, 0, 18]"
circle40,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[33.90625000000001, 58.72734769413224]], [[17.551166496014687, 65.50184509522745]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,12,15']","[0, 0, 0, 12, 6, 0, 0, 15]"
circle41,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[33.90625000000001, 58.72734769413224]], [[4.152318053358994e-15, 67.8125]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,12,18']","[0, 0, 0, 12, 6, 0, 0, 18]"
circle42,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[17.551166496014687, 65.50184509522745]], [[4.152318053358994e-15, 67.8125]], [[12.99038105676658, 7.499999999999999]], [[15.0, 0.0]]]","['Iteration=0,6,15,18']","[0, 0, 0, 15, 6, 0, 0, 18]"
circle43,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[65.50184509522745, 17.551166496014687]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,0,3']","[0, 0, 0, 0, 9, 0, 0, 3]"
circle44,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[58.72734769413225, 33.90624999999999]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,0,6']","[0, 0, 0, 0, 9, 0, 0, 6]"
circle45,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[47.95067859921276, 47.95067859921276]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,0,9']","[0, 0, 0, 0, 9, 0, 0, 9]"
circle46,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[33.90625000000001, 58.72734769413224]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,0,12']","[0, 0, 0, 0, 9, 0, 0, 12]"
circle47,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[17.551166496014687, 65.50184509522745]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,0,15']","[0, 0, 0, 0, 9, 0, 0, 15]"
circle48,circle,"[1, 0, 1, 0]","[[[15.0, 0.0]], [[67.8125, 0.0]], [[4.152318053358994e-15, 67.8125]], [[10.606601717798213, 10.606601717798213]], [[15.0, 0.0]]]","['Iteration=0,9,0,18']","[0, 0, 0, 0, 9, 0, 0, 18]"
